ID;levelName;fieldName;description;sapType;fieldLength;propertyType;isRequired;isCustom
668b569a-5959-b224-fb8f-83cf8267d5b2;Batch;Batch Number;"Lockbox batch identifier; may repeat at header and line level";CHAR;10;Standard;False;False
f859b8b0-7e02-6b37-7fab-55e16183bd72;Batch;Lockbox Number;Bank/lockbox identifier used for incoming lockbox file processing;CHAR;10;Standard;True;False
a27d87c9-8ede-4ab2-aeb3-c28515c4af4d;Batch;Company Code;SAP legal entity/company code;CHAR;4;Standard;False;False
909bc00d-e895-2b22-d844-61fca9eefa80;Batch;LockboxBatchDestination;Destination bank/account or lockbox processing location;CHAR;20;Standard;True;False
cb4d7090-23eb-5293-9677-7c620868b9fe;Batch;LockboxBatchOrigin;Originating bank/location/source of lockbox batch;CHAR;20;Standard;True;False
82c654f7-5836-ddbe-3eac-0f73ec5bdfdb;Batch;Deposit Date and Time;Deposit receipt date and time from bank file;TIMESTAMP;14;Date;True;False
dc9dc416-106f-5b57-906a-ecdeaa67a877;Batch;Incoming Payment File ID;Unique identifier for the inbound payment file;CHAR;20;Standard;False;False
7470f689-36c1-0a49-a1a2-443d0d79550e;Batch;NumberOfItems;Total number of items/checks in the batch;NUMC;6;Number;False;False
e32c0aad-079b-9415-4e29-593ef6ab9640;Batch;Currency;Transaction currency code;CUKY;5;Standard;False;False
2e1c6d2b-7f96-de2f-5db5-06406e9531b0;Batch;Payment Amount;Total payment amount at batch/header level;CURR;15;Amount;True;False
db0ca8c5-5cfc-5ffb-4819-f44e99b7db98;BatchItem;Line item-Bank Statement;Bank statement line item number;NUMC;6;Number;True;False
d8a1e725-1b36-fc35-6cc0-8dab538c03f3;BatchItem;Batch Number;"Lockbox batch identifier; may repeat at header and line level";CHAR;10;Standard;True;False
dd6b8ed8-96f3-31d2-c520-9ee45a9d6a99;BatchItem;Value Date of the Item;Value date for cash application/posting;DATS;8;Date;False;False
f1c3f9bd-71c8-2517-2f89-f1c68814e795;BatchItem;Payment/Cheque Amount;Amount of individual payment/check;CURR;15;Amount;True;False
e54f6786-27dc-70f4-e179-1e67942be565;BatchItem;Check Number;Cheque/check reference number;CHAR;15;Standard;True;False
0877374d-0ef3-6481-9fe3-80bf1a9a8521;BatchItem;Partner Bank Account;Payer/customer bank account number;CHAR;18;Standard;False;False
29eb776e-9f25-1027-570a-3a77afe0df08;BatchItem;Partner Bank Code;Payer/customer bank key/routing number;CHAR;15;Standard;False;False
ad99e945-d049-c7cb-397c-8e2ad3b6199d;BatchItem;Partner Bank Account;Payer/customer bank account number;CHAR;18;Standard;False;False
8da60945-7251-9546-da7d-b63c24b13a32;BatchItem;Customer;SAP customer account number;CHAR;10;Standard;False;False
442f16d8-92ef-f68f-36cd-6ef48abd1312;BatchItem;First Line of the Memo Line;First memo/reference text line from bank file;CHAR;50;Standard;False;False
63139d44-e926-e1ab-c72a-1568a51bcc72;BatchItem;MemoLine;Full memo/remittance information text;CHAR;140;Standard;False;False
940ac55a-8980-129c-1606-0fba81332d67;BatchItem;Payment Advice Number;Payment advice document/reference number;CHAR;10;Standard;False;False
d8a93c1f-5c6f-4bd6-a5f5-43856e78d9ea;BatchItem;Assignment Number;Assignment/reference used for clearing;CHAR;18;Standard;False;False
bd597ad8-0892-d983-adc1-9fe995234102;BatchItem;Description;Free-text description;CHAR;50;Standard;False;False
97e626de-e92d-1792-9d20-c8fc8d120e5e;BatchItem;Reference Document Number;External/reference document number;CHAR;16;Standard;False;False
42df852b-38bd-2ed0-b38f-3d7ed846a328;BatchItem;Company Code;SAP legal entity/company code;CHAR;4;Standard;False;False
633c962a-b67b-4e91-5e20-626f28f56067;BatchItem;Fiscal Year;SAP fiscal year;NUMC;4;Number;False;False
188c842d-ef14-6a64-2d81-e3121cfeb466;CLEARING;Payment Advice Number;Payment advice document/reference number;CHAR;10;Standard;False;False
5c8b183b-bf66-9251-2144-f4586169ed4a;CLEARING;Payment Advice Item;Line item within payment advice;NUMC;6;Number;False;False
65c103cc-3df4-07d8-1f51-99cfe2c9034a;CLEARING;Account Number;Customer/vendor/G/L account number;CHAR;10;Standard;False;False
3b358467-ce91-eebd-befe-73351b4ff133;CLEARING;Account Type;SAP account type indicator, e.g., D/K/S;CHAR;1;Standard;False;False
19ca638d-602d-aac0-57d7-2c658504e855;CLEARING;Company Code;SAP legal entity/company code;CHAR;4;Standard;False;False
f910cadc-b9a3-6e8f-b370-7e65389fd662;CLEARING;Invoice;Customer invoice reference;CHAR;16;Standard;False;False
6f6f14a4-14ee-47de-5d3f-a5e0380176df;CLEARING;Document number;SAP accounting document number;CHAR;10;Standard;False;False
479cca12-303d-5b5d-d1a2-25a95b87b8b8;CLEARING;Invoice Amount;Original invoice amount;CURR;15;Amount;False;False
d6353d2d-35f4-c897-ce21-02d84f343a42;CLEARING;Deduction Amount;Short payment/deduction amount;CURR;15;Amount;False;False
f10bbb09-789d-0d70-5dee-b1969fbeaf30;CLEARING;Reason Code;Deduction/reason code;CHAR;4;Standard;False;False
0f06ccf7-4a9c-58e0-7f51-f13ca759efbe;CLEARING;Invoice Currency;Invoice ISO currency code;CUKY;5;Standard;False;False
