ID;template_ID;field_ID;sequenceNo;targetField;apiField;mappingRule;ruleId;ruleName
44444444-4444-4444-4444-000000000001;11111111-1111-1111-1111-111111111111;b87f3ccf-ffe4-4cac-b809-1e668ac276db;1;;DepositDateTime;Source;RULE_GET_DEPOSIT_DATE;Extract Deposit Date
44444444-4444-4444-4444-000000000002;11111111-1111-1111-1111-111111111111;bc1c153c-af72-4a5e-9e1c-f22b6582a5f7;2;;CompanyCode;Derived;RULE_GET_COMP_CODE;Derive Company Code
44444444-4444-4444-4444-000000000003;11111111-1111-1111-1111-111111111111;fc722230-50fb-4e96-9a3e-ac1043b1d36f;3;;LockboxBatchDestination;Derived;RULE_GET_BATCH_DEST;Extract Batch Destination
44444444-4444-4444-4444-000000000004;11111111-1111-1111-1111-111111111111;e6d1e100-3af8-458a-a7ab-b23100f256bf;4;;LockboxBatchOrigin;Derived;RULE_GET_BATCH_ORIG;Extract Batch Origin
44444444-4444-4444-4444-000000000005;11111111-1111-1111-1111-111111111111;ec42eaf5-a192-48c3-8d81-b7a84e147c96;5;;Currency;Source;RULE_GET_CURRENCY;Derive Currency
44444444-4444-4444-4444-000000000006;11111111-1111-1111-1111-111111111111;268f5861-9b08-4f21-9420-a47f7509de0c;6;;AmountInTransactionCurrency;Source;RULE_GET_TRANS_AMOUNT;Extract Transaction Amount
44444444-4444-4444-4444-000000000007;11111111-1111-1111-1111-111111111111;5dcf34dd-a909-4cb9-9fbf-1cde0537c1d8;7;;LockboxBatch;Source;RULE_GET_LOCKBOX_BATCH;Derive Lockbox Batch
44444444-4444-4444-4444-000000000008;11111111-1111-1111-1111-111111111111;683388e3-df46-401a-8034-a1c0d503f005;8;;Lockbox;Source;RULE_GET_LOCKBOX;Derive Lockbox
44444444-4444-4444-4444-000000000009;11111111-1111-1111-1111-111111111111;256e0a4c-4b26-4ea3-8f76-09b9f085ee86;9;;Customer;Source;RULE_GET_CUSTOMER;Derive Customer
44444444-4444-4444-4444-000000000010;11111111-1111-1111-1111-111111111111;af47eb36-c2b5-4401-a390-0246032f7d65;10;;AmountInTransactionCurrency;Source;RULE_GET_TRANS_AMOUNT;Extract Transaction Amount
44444444-4444-4444-4444-000000000011;11111111-1111-1111-1111-111111111111;8506519f-a516-4ea0-b869-e0e4acd13a40;11;;Currency;Source;RULE_GET_CURRENCY;Derive Currency
44444444-4444-4444-4444-000000000012;11111111-1111-1111-1111-111111111111;b712307d-cbd2-4dbb-9b6e-0e644d77040d;12;;Cheque;Source;RULE_GET_CHEQUE;Extract Cheque Number
44444444-4444-4444-4444-000000000013;11111111-1111-1111-1111-111111111111;6cfc93de-3478-4ed2-8f5e-29303736faa5;13;;AssignmentReference;Source;RULE_GET_ASSIGNMENT_REF;Derive Assignment Reference
44444444-4444-4444-4444-000000000014;11111111-1111-1111-1111-111111111111;2a55da85-414e-475b-ad5a-faa30cc39792;14;;PaymentReference;Source;RULE_GET_PAYMENT_REF;Derive Payment Reference
44444444-4444-4444-4444-000000000015;11111111-1111-1111-1111-111111111111;00cd8f32-86f2-4344-afc7-e030d536f4f2;15;;LockboxBatchItem;Source;RULE_GET_BATCH_ITEM;Derive Batch Item
44444444-4444-4444-4444-000000000016;11111111-1111-1111-1111-111111111111;52d63700-1656-4b7b-9c94-b4818cec7d1a;16;;PaymentDifferenceReason;Source;RULE_GET_DIFF_REASON;Derive Difference Reason
44444444-4444-4444-4444-000000000017;11111111-1111-1111-1111-111111111111;6c5e4892-f343-41bd-a3a4-9840188b7d40;17;;AssignmentReference;Source;RULE_GET_ASSIGNMENT_REF;Derive Assignment Reference
44444444-4444-4444-4444-000000000018;11111111-1111-1111-1111-111111111111;724d8706-e61e-413d-80ba-5c6cfb5390a9;18;;LockboxBatch;Source;RULE_GET_LOCKBOX_BATCH;Derive Lockbox Batch
44444444-4444-4444-4444-000000000019;11111111-1111-1111-1111-111111111111;ed34d547-c787-4f11-8bd8-968f7b8e7040;19;;Lockbox;Source;RULE_GET_LOCKBOX;Derive Lockbox
44444444-4444-4444-4444-000000000020;11111111-1111-1111-1111-111111111111;c7730775-b2c1-461d-b707-afea23ee5075;20;;Customer;Source;RULE_GET_CUSTOMER;Derive Customer
44444444-4444-4444-4444-000000000021;11111111-1111-1111-1111-111111111111;c33cb55a-1754-4817-a46c-4fa3136df93d;21;;LockboxBatchItem;Source;RULE_GET_BATCH_ITEM;Derive Batch Item
44444444-4444-4444-4444-000000000022;11111111-1111-1111-1111-111111111111;eef63af8-745a-4eff-a101-642e59203567;22;;PaymentDifferenceReason;Source;RULE_GET_DIFF_REASON;Derive Difference Reason
44444444-4444-4444-4444-000000000023;11111111-1111-1111-1111-111111111111;751424df-fba6-4436-92f4-b838d85fa18d;23;;PaymentReference;Source;RULE_GET_PAYMENT_REF;Derive Payment Reference
44444444-4444-4444-4444-000000000024;11111111-1111-1111-1111-111111111111;b87f3ccf-ffe4-4cac-b809-1e668ac276db;24;;DepositDateTime;Source;RULE_GET_DEPOSIT_DATE;Extract Deposit Date
44444444-4444-4444-4444-000000000025;11111111-1111-1111-1111-111111111111;b712307d-cbd2-4dbb-9b6e-0e644d77040d;25;;Cheque;Source;RULE_GET_CHEQUE;Extract Cheque Number
44444444-4444-4444-4444-000000000026;11111111-1111-1111-1111-111111111111;47307aee-8a76-43c0-b337-23696e56dfd3;26;;PaymentReference;Source;RULE_GET_PAYMENT_REF;Derive Payment Reference
44444444-4444-4444-4444-000000000027;11111111-1111-1111-1111-111111111111;c095c36d-84b6-4ba1-8482-eb1e3124c24c;27;;Customer;Source;RULE_GET_CUSTOMER;Derive Customer
44444444-4444-4444-4444-000000000028;11111111-1111-1111-1111-111111111111;1d09230c-d384-4eca-a23a-301c3e16d3d7;28;;Customer;Source;RULE_GET_CUSTOMER;Derive Customer
44444444-4444-4444-4444-000000000029;11111111-1111-1111-1111-111111111111;459965f2-e760-4e7c-9dd0-1ba9f4bd60db;29;;Currency;Source;RULE_GET_CURRENCY;Derive Currency
44444444-4444-4444-4444-000000000030;11111111-1111-1111-1111-111111111111;757005ed-9805-42b5-a5e2-b6adf5bbcaba;30;;NetPaymentAmountInPaytCurrency;Source;RULE_GET_NET_PAYMENT;Calculate Net Payment Amount
44444444-4444-4444-4444-000000000031;11111111-1111-1111-1111-111111111111;a86c28cc-108e-4892-a480-b490a5a7a8b0;31;;DeductionAmountInPaytCurrency;Source;RULE_GET_DEDUCTION_AMOUNT;Calculate Deduction Amount
44444444-4444-4444-4444-000000000032;11111111-1111-1111-1111-111111111111;f3e5fa61-899a-40bd-bc03-302df30ee2ca;32;;PaymentDifferenceReason;Source;RULE_GET_DIFF_REASON;Derive Difference Reason
44444444-4444-4444-4444-000000000033;11111111-1111-1111-1111-111111111111;971311ac-d8fd-4456-84ed-53f005918696;33;;LockboxBatchItem;Source;RULE_GET_BATCH_ITEM;Derive Batch Item
44444444-4444-4444-4444-000000000034;11111111-1111-1111-1111-111111111111;9379bd65-f9ba-415a-b999-373102084117;34;;LockboxBatch;Source;RULE_GET_LOCKBOX_BATCH;Derive Lockbox Batch
